x_resol,y_resol,w_values,h_values,target
352,288,108,108,76
352,288,102,102,78
352,288,96,96,80
352,288,94,94,82
352,288,94,94,84
352,288,93,93,87
352,288,93,93,88
352,288,86,86,89
352,288,88,88,90
352,288,88,88,90
352,288,89,89,89
352,288,89,89,87
352,288,92,92,88
352,288,91,91,89
352,288,89,89,91
352,288,83,83,92
352,288,83,83,95
352,288,82,82,94
352,288,81,81,96
352,288,80,80,102
352,288,80,80,97
352,288,79,79,106
352,288,78,78,105
352,288,76,76,100
352,288,74,74,108
352,288,74,74,101
352,288,74,74,102
352,288,74,74,106
352,288,72,72,111
352,288,72,72,109
352,288,71,71,116
352,288,70,70,106
352,288,70,70,109
352,288,68,68,109
352,288,67,67,107
352,288,67,67,107
352,288,65,65,106
352,288,65,65,107
352,288,64,64,108
352,288,64,64,112
352,288,65,65,112
352,288,64,64,131
352,288,61,61,115
352,288,62,62,117
352,288,62,62,115
352,288,63,63,116
352,288,61,61,133
352,288,60,60,122
352,288,61,61,132
352,288,60,60,119
352,288,60,60,136
352,288,59,59,133
352,288,60,60,121
352,288,57,57,123
352,288,57,57,123
352,288,61,61,144
352,288,63,63,123
352,288,63,63,126
352,288,60,60,130
352,288,60,60,132
352,288,57,57,134
352,288,57,57,133
352,288,55,55,151
352,288,54,54,136
352,288,53,53,148
352,288,57,57,155
352,288,56,56,137
352,288,56,56,157
352,288,54,54,156
352,288,51,51,151
352,288,51,51,155
352,288,52,52,265
352,288,51,51,154
352,288,52,52,155
352,288,50,50,157
352,288,53,53,265
352,288,49,49,157
352,288,49,49,157
352,288,51,51,153
352,288,51,51,156
352,288,49,49,160
352,288,51,51,162
352,288,50,50,161
352,288,49,49,160
352,288,49,49,163
352,288,47,47,173
352,288,48,48,171
352,288,46,46,169
352,288,45,45,167
352,288,45,45,177
352,288,45,45,175
352,288,45,45,174
352,288,41,41,184
352,288,44,44,180
352,288,45,45,183
352,288,44,44,178
352,288,43,43,183
352,288,45,45,180
352,288,45,45,182
352,288,44,44,181
352,288,45,45,175
352,288,46,46,176
352,288,50,50,166
352,288,48,48,158
352,288,50,50,155
352,288,48,48,155
352,288,50,50,153
352,288,51,51,153
352,288,52,52,155
352,288,52,52,149
352,288,53,53,137
352,288,54,54,131
352,288,57,57,130
352,288,58,58,124
352,288,61,61,123
352,288,57,57,121
352,288,62,62,121
352,288,65,65,127
352,288,59,59,113
352,288,61,61,110
352,288,63,63,108
352,288,64,64,105
352,288,67,67,103
352,288,66,66,101
352,288,68,68,97
352,288,74,74,90
352,288,74,74,89
352,288,76,76,87
352,288,81,81,86
352,288,84,84,83
352,288,90,90,81
352,288,94,94,81
352,288,94,94,74
352,288,95,95,71
352,288,97,97,69
352,288,100,100,67
352,288,102,102,67
352,288,110,110,66
352,288,116,116,67
352,288,113,113,69
352,288,115,115,69
352,288,115,115,80
352,288,115,115,82
352,288,114,114,71
352,288,116,116,71
352,288,113,113,72
352,288,107,107,71
352,288,111,111,70
352,288,112,112,70
352,288,112,112,70
352,288,112,112,72
352,288,111,111,79
352,288,109,109,77
352,288,113,113,81
352,288,110,110,80
352,288,108,108,81
352,288,104,104,84
352,288,105,105,90
352,288,102,102,86
352,288,100,100,87
352,288,98,98,88
352,288,95,95,91
352,288,93,93,91
352,288,92,92,93
352,288,93,93,98
352,288,90,90,97
352,288,90,90,95
352,288,84,84,96
352,288,84,84,102
352,288,81,81,97
352,288,79,79,98
352,288,79,79,98
352,288,75,75,98
352,288,75,75,97
352,288,73,73,97
352,288,70,70,97
352,288,73,73,95
352,288,76,76,94
352,288,74,74,93
352,288,74,74,91
352,288,78,78,90
352,288,80,80,88
352,288,84,84,86
352,288,84,84,83
352,288,88,88,85
352,288,92,92,85
352,288,94,94,74
352,288,97,97,72
352,288,101,101,71
352,288,103,103,70
352,288,106,106,68
352,288,105,105,66
352,288,111,111,65
352,288,111,111,66
352,288,113,113,76
352,288,115,115,74
352,288,118,118,60
352,288,119,119,60
352,288,119,119,60
352,288,122,122,58
352,288,126,126,57
352,288,130,130,56
352,288,130,130,54
352,288,134,134,53
352,288,138,138,52
352,288,136,136,52
352,288,141,141,52
352,288,143,143,49
352,288,139,139,48
352,288,149,149,49
352,288,150,150,47
352,288,156,156,44
352,288,162,162,43
352,288,163,163,43
352,288,170,170,43
352,288,170,170,41
352,288,175,175,37
352,288,180,180,38
352,288,179,179,39
352,288,189,189,39
352,288,185,185,38
352,288,192,192,38
352,288,188,188,37
352,288,189,189,37
352,288,197,197,37
352,288,201,201,36
352,288,195,195,36
352,288,200,200,35
352,288,200,200,34
352,288,204,204,34
352,288,199,199,34
352,288,200,200,34
352,288,202,202,34
352,288,210,210,34
352,288,213,213,33
352,288,227,227,33
352,288,216,216,32
352,288,226,226,33
352,288,218,218,33
352,288,227,227,33
352,288,228,228,31
352,288,234,234,31
352,288,142,142,59
352,288,124,124,60
352,288,130,130,60
352,288,129,129,62
352,288,124,124,63
352,288,127,127,62
352,288,126,126,61
352,288,126,126,61
352,288,129,129,61
352,288,128,128,61
352,288,124,124,61
352,288,127,127,60
352,288,132,132,62
352,288,135,135,74
352,288,138,138,55
352,288,140,140,53
352,288,144,144,52
352,288,141,141,54
352,288,157,157,52
352,288,159,159,52
352,288,158,158,48
352,288,165,165,48
352,288,164,164,47
352,288,172,172,65
352,288,176,176,63
352,288,180,180,60
352,288,184,184,61
352,288,184,184,60
352,288,196,196,40
352,288,194,194,39
352,288,198,198,37
352,288,200,200,37
352,288,195,195,38
352,288,190,190,38
352,288,192,192,38
352,288,191,191,38
352,288,191,191,37
352,288,195,195,37
352,288,196,196,38
352,288,197,197,36
352,288,199,199,34
352,288,203,203,35
352,288,198,198,34
352,288,200,200,33
352,288,195,195,32
352,288,191,191,31
352,288,198,198,30
352,288,203,203,30
352,288,205,205,29
352,288,212,209,29
352,288,222,222,30
352,288,236,236,30
352,288,246,246,28
352,288,239,239,27
352,288,233,233,28
352,288,237,237,28
352,288,242,242,28
352,288,252,252,28
352,288,253,253,35
352,288,258,258,26
352,288,259,259,27
352,288,265,265,27
352,288,254,254,26
352,288,258,258,25
352,288,262,262,25
352,288,260,260,25
352,288,262,262,26
352,288,268,268,24
352,288,256,256,27
352,288,266,266,26
320,240,124,124,48
320,240,122,122,71
320,240,125,125,55
320,240,127,127,55
320,240,123,123,53
320,240,125,125,54
320,240,130,130,56
320,240,127,127,52
320,240,126,126,53
320,240,133,133,53
320,240,134,134,52
320,240,137,137,51
320,240,144,144,50
320,240,142,142,67
320,240,147,147,49
320,240,154,154,45
320,240,157,157,43
320,240,162,162,44
320,240,161,161,43
320,240,164,164,42
320,240,175,175,39
320,240,178,178,38
320,240,178,178,39
320,240,182,182,37
320,240,181,181,36
320,240,186,186,35
320,240,183,183,34
320,240,191,191,35
320,240,196,196,34
320,240,196,196,32
320,240,200,200,32
320,240,189,189,32
320,240,179,179,34
320,240,179,179,29
320,240,187,187,29
320,240,182,182,29
320,240,207,207,29
320,240,225,225,28
320,240,215,215,28
320,240,217,217,28
320,240,215,215,28
320,240,222,222,28
320,240,221,221,27
320,240,224,224,24
320,240,220,220,24
320,240,217,217,25
320,240,217,217,26
320,240,223,223,26
320,240,222,222,27
320,240,210,210,27
320,240,221,221,25
320,240,217,217,28
320,240,217,217,27
320,240,216,216,25
320,240,217,217,24
320,240,215,215,25
320,240,216,216,26
320,240,210,210,24
320,240,212,212,23
320,240,211,211,21
320,240,209,209,20
320,240,199,199,20
320,240,188,188,21
